id,categoria,nombre,coleccion,badge,espesor,medidas,unidad_venta,precio_base,cobertura_caja,tira_longitud_ft,color_nombre,color_codigo,color_hex,imagen_url,notas
spc-5.7mm-pulse-shield,piso,Pulse Shield Collection,Pulse Shield,PREMIUM,5.7 mm,"9"" x 48""",sqft,1.69,27.49,,Almond Beige,PS-01,#D2C3B0,,Capa de uso: 20 Mil. 9 tablas/caja. Planchas anchas 9x48 formato Premium con capa de uso de 20 Mils.
spc-5.7mm-pulse-shield,piso,Pulse Shield Collection,Pulse Shield,PREMIUM,5.7 mm,"9"" x 48""",sqft,1.69,27.49,,Smoked Ash,PS-02,#87837F,,Capa de uso: 20 Mil. 9 tablas/caja. Planchas anchas 9x48 formato Premium con capa de uso de 20 Mils.
spc-5.7mm-pulse-shield,piso,Pulse Shield Collection,Pulse Shield,PREMIUM,5.7 mm,"9"" x 48""",sqft,1.69,27.49,,Natural Hickory,PS-03,#B89B72,,Capa de uso: 20 Mil. 9 tablas/caja. Planchas anchas 9x48 formato Premium con capa de uso de 20 Mils.
spc-5.7mm-pulse-shield,piso,Pulse Shield Collection,Pulse Shield,PREMIUM,5.7 mm,"9"" x 48""",sqft,1.69,27.49,,Desert Dune,PS-04,#D7C4A5,,Capa de uso: 20 Mil. 9 tablas/caja. Planchas anchas 9x48 formato Premium con capa de uso de 20 Mils.
spc-6.0mm-pulse-shield-xl,piso,Pulse Shield XL Collection,Pulse Shield XL,,6.0 mm,"9"" x 60"" XL",sqft,1.89,22.5,,Golden Honey,PX-02,#D7C8A8,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-shield-xl/plank_2_golden_honey.webp,"Capa de uso: 20 Mil. 6 tablas/caja. Formato extra largo 9""x60"" para espacios amplios y elegantes."
spc-6.0mm-pulse-shield-xl,piso,Pulse Shield XL Collection,Pulse Shield XL,,6.0 mm,"9"" x 60"" XL",sqft,1.89,22.5,,N Gray,PX-04,#AFB1B3,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-shield-xl/plank_4_n_gray.webp,"Capa de uso: 20 Mil. 6 tablas/caja. Formato extra largo 9""x60"" para espacios amplios y elegantes."
spc-6.0mm-pulse-shield-xl,piso,Pulse Shield XL Collection,Pulse Shield XL,,6.0 mm,"9"" x 60"" XL",sqft,1.89,22.5,,Variation Gray,PX-05,#787360,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-shield-xl/plank_5_variation_gray.webp,"Capa de uso: 20 Mil. 6 tablas/caja. Formato extra largo 9""x60"" para espacios amplios y elegantes."
spc-6.0mm-pulse-shield-xl,piso,Pulse Shield XL Collection,Pulse Shield XL,,6.0 mm,"9"" x 60"" XL",sqft,1.89,22.5,,Oak Blossom,PX-06,#AE9771,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-shield-xl/plank_6_oak_blossom.webp,"Capa de uso: 20 Mil. 6 tablas/caja. Formato extra largo 9""x60"" para espacios amplios y elegantes."
spc-6.0mm-pulse-shield-xl,piso,Pulse Shield XL Collection,Pulse Shield XL,,6.0 mm,"9"" x 60"" XL",sqft,1.89,22.5,,Maple,PX-07,#B59D6E,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/pulse-shield-xl/plank_7_maple.webp,"Capa de uso: 20 Mil. 6 tablas/caja. Formato extra largo 9""x60"" para espacios amplios y elegantes."
spc-8.0mm-pulse-elegance,piso,Pulse Elegance Collection,Pulse Elegance,,8.0 mm,"7"" x 48""",sqft,1.99,16.83,,Manhattan Oak,PE-01,#A39178,,Capa de uso: 22 Mil. 7 tablas/caja. Máximo espesor 8mm con capa comercial de 22 Mils.
spc-8.0mm-pulse-elegance,piso,Pulse Elegance Collection,Pulse Elegance,,8.0 mm,"7"" x 48""",sqft,1.99,16.83,,Nordic Sand,PE-02,#C7BBA8,,Capa de uso: 22 Mil. 7 tablas/caja. Máximo espesor 8mm con capa comercial de 22 Mils.
spc-8.0mm-pulse-elegance,piso,Pulse Elegance Collection,Pulse Elegance,,8.0 mm,"7"" x 48""",sqft,1.99,16.83,,Savannah Walnut,PE-03,#725C44,,Capa de uso: 22 Mil. 7 tablas/caja. Máximo espesor 8mm con capa comercial de 22 Mils.
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Liv Oak,S-01,#AC987B,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_1_liv_oak.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Kirsche Oak,S-02,#897265,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_2_kirsche_oak.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Hygge Gray,S-03,#D8D4CB,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_3_hygge_gray.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Serenity Oak XL,S-05,#C0AE97,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_5_serenity_oak.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Japandi Oak,S-06,#DFCCAC,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_6_japandi_oak.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Chic Dark,S-08,#60615C,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_8_chic_dark.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Silver Oak,S-09,#BEBEB5,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_9_silver_oak.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Toupe Oak,S-10,#958264,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_10_toupe_oak.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Jewel Oak,S-11,#D1C8BF,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_11_jewel_oak.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-xl-pulse,piso,XL Pulse Collection,XL Pulse,,8.0 mm,"9"" x 60"" XL",sqft,02.04,19.29,,Cherry XL,S-12,#986E45,https://raw.githubusercontent.com/JanuelDesign/quicksurfacesplanks/refs/heads/main/public/images/products/xl-pulse/plank_12_cherry_xl.webp,"Capa de uso: 22 Mil. 5 tablas/caja. SPC Premium 8mm en formato Gran Formato 9""x60"" con 22 Mils."
spc-8.0mm-pulse-pro,piso,Pulse PRO Collection,Pulse PRO,,8.0 mm,"9"" x 54""",sqft,2.19,20.37,,Estate Oak,PRO-01,#9E886D,,Capa de uso: 22 Mil. 6 tablas/caja. Línea PRO de alta gama para proyectos comerciales y residenciales exigentes.
spc-8.0mm-pulse-pro,piso,Pulse PRO Collection,Pulse PRO,,8.0 mm,"9"" x 54""",sqft,2.19,20.37,,Castilian Sand,PRO-02,#C2AF94,,Capa de uso: 22 Mil. 6 tablas/caja. Línea PRO de alta gama para proyectos comerciales y residenciales exigentes.
spc-8.0mm-pulse-pro,piso,Pulse PRO Collection,Pulse PRO,,8.0 mm,"9"" x 54""",sqft,2.19,20.37,,Smoked Charcoal,PRO-03,#4A4846,,Capa de uso: 22 Mil. 6 tablas/caja. Línea PRO de alta gama para proyectos comerciales y residenciales exigentes.
spc-10mm-ultrapulse,piso,UltraPulse Collection,UltraPulse,,10.0 mm,"9"" x 48""",sqft,2.29,14.82,,Titanium Oak,UP-01,#8F8A80,,Capa de uso: AC5 Heavy Commercial. 5 tablas/caja. Máxima solidez y aislamiento acústico con 10mm de espesor y AC5.
spc-10mm-ultrapulse,piso,UltraPulse Collection,UltraPulse,,10.0 mm,"9"" x 48""",sqft,2.29,14.82,,Heritage Blonde,UP-02,#D8C6A5,,Capa de uso: AC5 Heavy Commercial. 5 tablas/caja. Máxima solidez y aislamiento acústico con 10mm de espesor y AC5.
laminate-spain-fs,piso,Spain Laminate FS,Waterproof Laminate,,8.0 mm,"9"" x 51""",sqft,1.79,20.3,,Barcelona Oak,SL-01,#B59E7B,,Capa de uso: AC6 | Eco Label. 8 tablas/caja. Piso laminado resistente al agua de origen español con certificación AC6.
laminate-spain-fs,piso,Spain Laminate FS,Waterproof Laminate,,8.0 mm,"9"" x 51""",sqft,1.79,20.3,,Madrid Walnut,SL-02,#7A6248,,Capa de uso: AC6 | Eco Label. 8 tablas/caja. Piso laminado resistente al agua de origen español con certificación AC6.
laminate-spain-fe,piso,Spain Laminate FE,Waterproof Laminate,,8.0 mm,"7"" x 52""",sqft,1.79,22.24,,Sevilla Natural,SFE-01,#C4B196,,"Capa de uso: AC6 | Eco Label. 8 tablas/caja. Laminado español hidrófugo formato 7""x52"" de alta durabilidad."
laminate-spain-fe,piso,Spain Laminate FE,Waterproof Laminate,,8.0 mm,"7"" x 52""",sqft,1.79,22.24,,Valencia Gray,SFE-02,#99948D,,"Capa de uso: AC6 | Eco Label. 8 tablas/caja. Laminado español hidrófugo formato 7""x52"" de alta durabilidad."
laminate-pulse-hd-core,piso,Pulse HD Core Laminate,Waterproof Laminate,,7.0 mm,"8"" x 48""",sqft,1.79,36.43,,Alpine Ash,HD-01,#AEAAA3,,Capa de uso: AC5 | Free PVC Black. 14 tablas/caja. Núcleo de alta densidad HD Core con 36.43 sqft por caja.
laminate-pulse-hd-core,piso,Pulse HD Core Laminate,Waterproof Laminate,,7.0 mm,"8"" x 48""",sqft,1.79,36.43,,Tuscan Oak,HD-02,#B89B72,,Capa de uso: AC5 | Free PVC Black. 14 tablas/caja. Núcleo de alta densidad HD Core con 36.43 sqft por caja.
tile-porcelane-pulse,piso,Porcelane Tile Pulse,Porcelane Tile,,9.0 mm,"24"" x 48""",sqft,1.79,15.5,,Calacatta White,TP-01,#ECEAE4,,Capa de uso: PEI 3 Stain & Glossy. 2 tablas/caja. Porcelanato rectificado 24x48 para acabados pulidos y mate de lujo.
tile-porcelane-pulse,piso,Porcelane Tile Pulse,Porcelane Tile,,9.0 mm,"24"" x 48""",sqft,1.79,15.5,,Marquina Black,TP-02,#2A2928,,Capa de uso: PEI 3 Stain & Glossy. 2 tablas/caja. Porcelanato rectificado 24x48 para acabados pulidos y mate de lujo.
bb-1x6-14mm-pine,rodapie,"Baseboard BB1x6 (14 mm - 9/16"")",Pine Baseboard,,14 mm x 135 mm,"5 1/2"" x 1/2"" x 16 ft PINE",linear_ft,0.99,,16,White Primed,WP,#F8F8F8,,Madera de pino tratada e imprimada en blanco lista para pintar. Tiras de 16 ft.
bb-1x4-14mm-pine,rodapie,"Baseboard BB1x4 (14 mm - 9/16"")",Pine Baseboard,,14 mm x 85 mm,"3 1/2"" x 1/2"" x 16 ft PINE",linear_ft,0.79,,16,White Primed,WP,#F8F8F8,,"Baseboard estándar 3 1/2"" en madera de pino blanco. Tiras de 16 ft."
bb-5180-14mm-pine,rodapie,Baseboard BB5180 Colonial (14 mm),Colonial Baseboard,,14 mm x 133 mm,"5 1/4"" x 9/16"" x 16 ft PINE",linear_ft,0.89,,16,White Primed,WP,#F8F8F8,,"Perfil colonial clásico 5 1/4"" para acabados tradicionales. Tiras de 16 ft."
bb-1x6-18mm-heavy,rodapie,Baseboard BB1x6 Heavy (18 mm),Pine Baseboard,,18 mm x 135 mm,"5 1/2"" x 3/4"" x 16 ft PINE",linear_ft,1.15,,16,White Primed,WP,#F8F8F8,,Perfil robusto extra grueso de 18mm para mayor impacto visual. Tiras de 16 ft.
bb-618-curved,rodapie,Baseboard BB618 Curved (14 mm),Curved Baseboard,,14 mm x 140 mm,"5 1/2"" x 9/16"" x 16 ft",linear_ft,01.05,,16,White Primed,WP,#F8F8F8,,Perfil curvo moderno para remates elegantes. Tiras de 16 ft.
bb-quarter-round-pine-16,rodapie,Quarter Round (Pine/MDF 16 ft),Quarter Round,,MDF / Pine,MDF 16 Ft Long,linear_ft,0.50,,16,White Satin,WS,#F8F8F8,,Moldura cuarto de bocel de 16 pies lineales para sellar juntas.
bb-quarter-round-mdf-8,rodapie,Quarter Round MDF (8 ft),Quarter Round,,MDF,MDF 8 Ft Long,linear_ft,0.40,,8,White Satin,WS,#F8F8F8,,Cuarto de bocel MDF en tramos prácticos de 8 pies.
bb-quarter-round-eps-12,rodapie,Quarter Round EPS Waterproof (12 ft),Waterproof Quarter Round,,15 mm x 15 mm,MDF/EPS 12 Ft Long WaterProof,linear_ft,0.60,,12,White Satin,WS,#F8F8F8,,"100% impermeable, ideal para cocinas, baños y áreas húmedas."
bb-square-1x1-mdf-8,rodapie,Square 1x1 MDF Waterproof (8 ft),Square Trim,,"1"" x 1""",MDF 8 Ft Long WaterProof,linear_ft,0.89,,8,White Satin,WS,#F8F8F8,,Perfil cuadrado minimalista impermeable 1x1 en tiras de 8 ft.
molding-cm-t-molding,perfiles,CM T-Molding (Transición SPC),Moldings,,Matching SPC Commercial,"94"" (2.40 m) - L 94 1/2"" W 1 3/4"" H 3/8""",piece,30.00,,,Al tono del piso seleccionado,MATCH,#C7B28E,,Perfil T de transición entre pisos del mismo nivel al tono exacto del SPC.
molding-cm-reducer,perfiles,CM Reducer (Reductor de Desnivel),Moldings,,Matching SPC Commercial,"94"" (2.40 m) - L 94 1/2"" W 1 3/4"" H 3/8""",piece,30.00,,,Al tono del piso seleccionado,MATCH,#C7B28E,,Perfil reductor de nivel para unir piso SPC con alfombra o cerámica.
molding-end-cap,perfiles,End Cap / Terminal Cuadrado,Moldings,,Matching SPC Commercial,"94"" (2.40 m) - L 94 1/2"" W 1 3/4"" H 3/8""",piece,30.00,,,Al tono del piso seleccionado,MATCH,#C7B28E,,"Perfil de remate contra puertas correderas, chimeneas y paredes."
molding-aluminum-tmolding,perfiles,Aluminum Moldings Laminate (T-Molding / End),Aluminum Moldings,,Aluminio Anodizado,"W 1 3/4"" H 1/4"" L 78""",piece,45.00,,,Matte Silver,AL-SILVER,#CCCCCC,,"Perfil de aluminio reforzado de 78"" para zonas de tráfico intenso."
molding-aluminum-tmolding,perfiles,Aluminum Moldings Laminate (T-Molding / End),Aluminum Moldings,,Aluminio Anodizado,"W 1 3/4"" H 1/4"" L 78""",piece,45.00,,,Matte Black,AL-BLACK,#1C1C1C,,"Perfil de aluminio reforzado de 78"" para zonas de tráfico intenso."
molding-aluminum-tmolding,perfiles,Aluminum Moldings Laminate (T-Molding / End),Aluminum Moldings,,Aluminio Anodizado,"W 1 3/4"" H 1/4"" L 78""",piece,45.00,,,Brushed Brass,AL-BRASS,#CBB279,,"Perfil de aluminio reforzado de 78"" para zonas de tráfico intenso."
molding-profile-l-skirting,perfiles,Profile L Skirting,Wall Profiles,,,Tira 2.40 m,piece,20.00,,,,,,,Perfil en L para zócalos y paneles de pared.
molding-profile-concave,perfiles,Profile Concave,Wall Profiles,,,Tira 2.40 m,piece,20.00,,,,,,,Perfil cóncavo de esquina interior para remate limpio.
molding-profile-endcap-wall,perfiles,Profile Mini End Cap / End Cap,Wall Profiles,,,Tira 2.40 m,piece,20.00,,,,,,,Mini terminal para remate perimetral de revestimientos.
steps-double-rounded,escalones,Escalón Double Rounded Step,Stair Treads,,5.5 mm / 6.0 mm / 8.0 mm (20-22 Mil),"12"" x 48"" (Largo de la tabla)",piece,19.00,,,Al tono del piso seleccionado,MATCH,#C7B28E,,Peldaño con doble curvatura redondeada ergonómica al tono del SPC. Soporta contrahuella.
steps-square-edge,escalones,Escalón Square Edge Step (Canto Recto),Stair Treads,,5.5 mm / 6.0 mm / 8.0 mm (20-22 Mil),"12"" x 48"" (Largo de la tabla)",piece,19.00,,,Al tono del piso seleccionado,MATCH,#C7B28E,,Peldaño de canto cuadrado moderno estilo flotante. Compatible con Riser Plank.
steps-riser-plank,escalones,Contrahuella (Riser Plank White Laminate),Stair Risers,,,White Laminate Plank (Length of the plank),piece,9.00,,,,,,,Tabla vertical de contrahuella blanca laminada para acabado en contraste.
underlayment-vapor-barrier,otros,Plastic Vapor Barrier (Barrera de Vapor),Underlayments,,,"Poly Plastic Sheeting 6 Mils | 1,000 sqft / rollo",unit,65.00,,,,,,,Rollo de polietileno de 6 Mils para protección contra humedad en losas de concreto.
underlayment-ixpe-padding,otros,Underlayment IXPE Padding Pat,Underlayments,,,IXPE 100 sqft / rollo | 2mm | 68 STC - 72 IIC,unit,22.00,,,,,,,Manta acústica de alta densidad IXPE para reducción de ruido de impacto.
wall-panels-indoor,otros,Wall Panels Indoor (Revestimiento Pared),Wall Panels,,,"1"" x 6 5/8"" x 113"" (10 piezas por caja)",unit,17.00,,,,,,,Paneles decorativos para pared interior acústico y moderno.
acoustic-wall-panel,otros,Acoustic Wall Panel Premium,Wall Panels,,,"1"" x 12"" x 92""",unit,35.00,,,,,,,Panel acústico en listones de madera con fieltro fonoabsorbente.
